	MAXMAX	MINMAX					
Generation	Team	Normal_Fitness					
0	0	1					
5	0	1.11111				MINMAX	2
10	0	1				MAXMAX	18
15	0	1					
20	0	800					
25	0	100				MAXMAX	16
30	0	1				MINMIN	4
35	1	0.155556					
40	0	1					
45	0	0.000104167				MAXMAX	11
50	1	1.01176				MAXMIN	9
55	0	1					
60	0	0.002					
65	0	100					
70	0	1					
75	0	0.00125					
80	0	1					
85	0	1					
90	0	1					
95	0	0.0833333					
MAXMAX	v	MINMIN					
Generation	Team	Normal_Fitness					
0	0	0					
5	0	1					
10	0	1					
15	0	0					
20	0	1					
25	0	1					
30	2	1					
35	2	7900					
40	0	0					
45	0	1					
50	0	1					
55	2	0.738462					
60	2	2.05128					
65	0	1					
70	0	1					
75	0	1					
80	0	1					
85	0	1					
90	0	0					
95	0	0					
MAXMAX	v	MAXMIN					
Generation	Team	Normal_Fitness					
0	3	11.5					
5	0	0					
10	0	1					
15	0	900					
20	0	3200					
25	3	1.92391					
30	0	1					
35	0	2600					
40	3	1					
45	0	0.333333					
50	3	0.974684					
55	3	2600					
60	3	3.5					
65	3	1.22222					
70	3	0.495575					
75	0	2.0625					
80	0	2100					
85	3	1.35294					
90	0	1.11111					
95	0	1.1					
