MAXMAX v MINMAX
Generation Team Normal_Fitness
0 -842150451 1
5 -842150451 1.11111
10 -842150451 1
15 -842150451 1
20 -842150451 800
25 -842150451 100
30 -842150451 1
35 1 0.155556
40 -842150451 1
45 -842150451 0.000104167
50 1 1.01176
55 -842150451 1
60 -842150451 0.002
65 -842150451 100
70 -842150451 1
75 -842150451 0.00125
80 -842150451 1
85 -842150451 1
90 -842150451 1
95 -842150451 0.0833333
MAXMAX v MINMAX
Generation Team Normal_Fitness
0 -842150451 0
5 -842150451 1
10 -842150451 1
15 -842150451 0
20 -842150451 1
25 -842150451 1
30 2 1
35 2 7900
40 -842150451 0
45 -842150451 1
50 -842150451 1
55 2 0.738462
60 2 2.05128
65 -842150451 1
70 -842150451 1
75 -842150451 1
80 -842150451 1
85 -842150451 1
90 -842150451 0
95 -842150451 0
MAXMAX v MINMAX
Generation Team Normal_Fitness
0 3 11.5
5 -842150451 0
10 -842150451 1
15 -842150451 900
20 -842150451 3200
25 3 1.92391
30 -842150451 1
35 -842150451 2600
40 3 1
45 -842150451 0.333333
50 3 0.974684
55 3 2600
60 3 3.5
65 3 1.22222
70 3 0.495575
75 -842150451 2.0625
80 -842150451 2100
85 3 1.35294
90 -842150451 1.11111
95 -842150451 1.1
